sentence	context	word	word_number	language	feature	phoneme	l_position
s_11	ml	dedo	two	spanish	lenition	d	NA
s_11	ml	caja	one	spanish	VOT	k	NA
s_12	ml	deuda	two	spanish	lenition	d	NA
s_12	ml	cama	one	spanish	VOT	k	NA
s_13	ml	panal	two	spanish	l_clarity	l	coda
s_13	ml	bicho	one	spanish	lenition	b	NA
s_14	ml	pangal	two	spanish	l_clarity	l	coda
s_14	ml	vino	one	spanish	lenition	b	NA
s_15	ml	carril	two	spanish	l_clarity	l	coda
s_15	ml	vaca	one	spanish	lenition	b	NA
s_16	ml	marfil	two	spanish	l_clarity	l	coda
s_16	ml	vaso	one	spanish	lenition	b	NA
s_17	ml	dedo	one	spanish	lenition	d	NA
s_17	ml	cama	two	spanish	VOT	k	NA
s_18	ml	deuda	one	spanish	lenition	d	NA
s_18	ml	caja	two	spanish	VOT	k	NA
s_19	ml	dados	one	spanish	lenition	d	NA
s_19	ml	quiste	two	spanish	VOT	k	NA
s_20	ml	damas	one	spanish	lenition	d	NA
s_20	ml	quicio	two	spanish	VOT	k	NA
s_21	ml	guiso	one	spanish	lenition	g	NA
s_21	ml	taza	two	spanish	VOT	t	NA
s_22	ml	guita	one	spanish	lenition	g	NA
s_22	ml	talla	two	spanish	VOT	t	NA
s_23	ml	gafas	one	spanish	lenition	g	NA
s_23	ml	tina	two	spanish	VOT	t	NA
s_24	ml	gato	one	spanish	lenition	g	NA
s_24	ml	tinta	two	spanish	VOT	t	NA
s_25	ml	libro	one	spanish	l_clarity	l	onset
s_25	ml	pavo	two	spanish	VOT	p	NA
s_26	ml	lima	one	spanish	l_clarity	l	onset
s_26	ml	pato	two	spanish	VOT	p	NA
s_27	ml	lapiz	one	spanish	l_clarity	l	onset
s_27	ml	piso	two	spanish	VOT	p	NA
s_28	ml	latas	one	spanish	l_clarity	l	onset
s_28	ml	pinzas	two	spanish	VOT	p	NA
s_29	ml	carril	one	spanish	l_clarity	l	coda
s_29	ml	vaso	two	spanish	lenition	b	NA
s_30	ml	marfil	one	spanish	l_clarity	l	coda
s_30	ml	vaca	two	spanish	lenition	b	NA
s_31	ml	panal	one	spanish	l_clarity	l	coda
s_31	ml	vino	two	spanish	lenition	b	NA
s_32	ml	pangal	one	spanish	l_clarity	l	coda
s_32	ml	bicho	two	spanish	lenition	b	NA
