speaker	gender	time_stamp	sent_comment	sentence	phoneme	word	word_comment	duration_ms	context	word_number	language	feature	l_position	f1	f2	f3	f3_f2
sub_06	female	867.7853048	NA	s_31	l	panal	NA	109.6718748	ml	one	spanish	l_clarity	coda	581.6177028	1910.200694	3164.412695	1254.212
sub_06	female	874.9965758	disf	s_16	l	marfil	NA	146.6964541	ml	two	spanish	l_clarity	coda	364.7494096	2012.702151	2824.978955	812.2768034
sub_06	female	879.1854758	NA	s_02	l	latas	NA	71.5295454	ml	two	spanish	l_clarity	onset	469.0355749	1546.188719	2899.078843	1352.890124
sub_06	female	902.3099177	NA	s_28	l	latas	NA	48.16135013	ml	one	spanish	l_clarity	onset	483.9747536	1402.705503	2823.071334	1420.365831
sub_06	female	918.4292292	disf	s_29	l	carril	NA	78.64638895	ml	one	spanish	l_clarity	coda	408.5210864	1644.366112	2902.248811	1257.882698
sub_06	female	926.6032196	NA	s_14	l	pangal	NA	113.2573221	ml	two	spanish	l_clarity	coda	487.8202641	1908.982336	2887.05743	978.0750938
sub_06	female	936.2535969	NA	s_03	l	libro	NA	38.81800953	ml	two	spanish	l_clarity	onset	349.4476591	2246.635664	2734.856936	488.2212719
sub_06	female	949.1384413	NA	s_15	l	carril	NA	74.90182207	ml	two	spanish	l_clarity	coda	392.8158798	2286.227633	2957.384102	671.1564691
sub_06	female	952.2668603	NA	s_27	l	lapiz	NA	71.47921223	ml	one	spanish	l_clarity	onset	418.559975	1654.993808	2877.720955	1222.727147
sub_06	female	955.2892312	NA	s_01	l	lapiz	NA	83.09622408	ml	two	spanish	l_clarity	onset	430.5344447	1608.866206	2929.810399	1320.944193
sub_06	female	958.3646261	NA	s_25	l	libro	NA	110.7887302	ml	one	spanish	l_clarity	onset	414.331709	1935.328483	2883.578112	948.2496285
sub_06	female	961.9172375	NA	s_30	l	marfil	NA	60.2686499	ml	one	spanish	l_clarity	coda	423.6020424	1820.332846	2701.901587	881.5687407
sub_06	female	971.7718463	NA	s_13	l	panal	NA	71.13350401	ml	two	spanish	l_clarity	coda	496.1094964	1574.995283	3002.568521	1427.573238
sub_06	female	975.2878431	NA	s_04	l	lima	NA	56.01502488	ml	two	spanish	l_clarity	onset	395.7937649	1776.740036	2865.036767	1088.296731
sub_06	female	987.1122065	NA	s_03	l	libro	NA	98.38464381	ml	two	spanish	l_clarity	onset	395.0517106	2034.233264	2685.686994	651.4537299
sub_06	female	993.4220686	NA	s_32	l	pangal	NA	121.3366099	ml	one	spanish	l_clarity	coda	474.3397146	1689.049846	3027.981397	1338.931551
sub_06	female	996.2323433	NA	s_27	l	lapiz	NA	70.7798896	ml	one	spanish	l_clarity	onset	442.5122246	1730.972625	2917.605834	1186.633209
sub_06	female	1003.231518	NA	s_31	l	panal	NA	95.65162693	ml	one	spanish	l_clarity	coda	618.6854188	1716.430605	3097.211292	1380.780687
sub_06	female	1011.026053	NA	s_14	l	pangal	NA	83.67936355	ml	two	spanish	l_clarity	coda	423.6661458	1955.049669	2827.202106	872.152437
sub_06	female	1025.827791	NA	s_15	l	carril	NA	82.99407702	ml	two	spanish	l_clarity	coda	363.7195126	2012.211214	2895.288956	883.0777417
sub_06	female	1045.923906	NA	s_01	l	lapiz	NA	85.57709166	ml	two	spanish	l_clarity	onset	467.178663	1630.186811	2965.490105	1335.303294
sub_06	female	1048.946277	NA	s_16	l	marfil	NA	49.34386454	ml	two	spanish	l_clarity	coda	384.1487158	1762.88934	2770.863338	1007.973998
sub_06	female	1052.604936	disf	s_04	l	lima	NA	92.22222719	ml	two	spanish	l_clarity	onset	470.0028762	1681.114439	2900.80654	1219.692101
sub_06	female	1058.278509	NA	s_02	l	latas	NA	46.536271	ml	two	spanish	l_clarity	onset	480.1383524	1523.021971	2797.044697	1274.022725
sub_06	female	1061.831121	NA	s_29	l	carril	NA	98.95830835	ml	one	spanish	l_clarity	coda	480.4435723	1816.452276	2965.630969	1149.178693
sub_06	female	1069.420296	NA	s_26	l	lima	NA	74.49610761	ml	one	spanish	l_clarity	onset	449.1958173	1649.139577	2835.060476	1185.920899
sub_06	female	1072.336618	NA	s_30	l	marfil	NA	63.69706247	ml	one	spanish	l_clarity	coda	1841.364786	2790.171738	3695.170435	904.9986965
sub_06	female	1079.282768	disf	s_25	l	libro	NA	80.8191863	ml	one	spanish	l_clarity	onset	674.3471861	2655.401611	2949.837048	294.4354368
sub_06	female	1083.471668	NA	s_28	l	latas	NA	52.31136508	ml	one	spanish	l_clarity	onset	470.2058252	1419.408238	2932.785953	1513.377715
sub_06	female	1089.675482	NA	s_13	l	panal	NA	62.80409493	ml	two	spanish	l_clarity	coda	549.3851049	1743.232844	3062.050173	1318.817329
sub_06	female	1161.930535	NA	e_14	l	ball	NA	103.1957738	ml	two	english	l_clarity	coda	671.5512512	1015.470479	3091.745935	2076.275456
sub_06	female	1186.141507	NA	e_16	l	wheel	NA	92.0533248	ml	two	english	l_clarity	coda	471.5452195	1434.139707	2960.272237	1526.13253
sub_06	female	1195.312323	NA	e_03	l	leases	NA	31.20274463	ml	two	english	l_clarity	onset	405.8741216	1486.095102	3163.926666	1677.831565
sub_06	female	1200.411453	NA	e_25	l	leases	NA	70.59743539	ml	one	english	l_clarity	onset	435.0955604	1344.095665	2760.692655	1416.59699
sub_06	female	1204.212216	disf	e_15	l	meal	NA	82.53945367	ml	two	english	l_clarity	coda	612.3932032	1565.330253	3116.480197	1551.149944
sub_06	female	1209.097268	NA	e_30	l	wheel	NA	86.64222783	ml	one	english	l_clarity	coda	570.3528874	1318.38552	2882.186106	1563.800586
