speaker	language	word_number	word	spontaneous_response	uncued	cue_semantic_correct	cue_semantic_incorrect	cue_phonemic_correct	cue_phonemic_incorrect
sub_02	spanish	45	ballena		x				
sub_02	spanish	46	enfermera		x				
sub_02	spanish	47	jaula		x				
sub_02	spanish	48	flecha		x				
sub_02	spanish	49	rastrillo					x	
sub_02	spanish	50	serrucho, sierra	Dk, serruche					x
sub_02	spanish	51	nido		x				
sub_02	spanish	52	enchufe		x				
sub_02	spanish	53	peluca		x				
sub_02	spanish	54	tornillo		x				
sub_02	spanish	55	rey		x				
sub_02	spanish	56	bufanda		x				
sub_02	spanish	57	pozo					x	
sub_02	spanish	58	recogedor		x				
sub_02	spanish	59	paracaídas		x				
sub_02	spanish	60	persiana		x				
sub_02	spanish	61	bisagra	DK			x		x
sub_02	spanish	62	embudo	DK			x		x
sub_02	spanish	63	medidor, barómetro, calibrador, manOmetro	balbula, Dk			x		x
sub_02	spanish	64	portilla	ventano, Dk			x		x
sub_02	spanish	65	yunque	DK			x		x
sub_02	spanish	66	 molcajete, mortero	molino, molde, DK			x		x
sub_02	spanish	67	mano de mortero	DK			x		x
sub_02	spanish	68	eje	DK			x		x
sub_03	english	1	hand		x				
sub_03	english	2	dog		x				
sub_03	english	3	tree		x				
sub_03	english	4	bed		x				
sub_03	english	5	door		x				
sub_03	english	6	sun		x				
sub_03	english	7	book		x				
sub_03	english	8	butterfly		x				
sub_03	english	9	scissors		x				
sub_03	english	10	key		x				
sub_03	english	11	chair		x				
sub_03	english	12	moon		x				
sub_03	english	13	airplane		x				
sub_03	english	14	apple		x				
sub_03	english	15	fish		x				
sub_03	english	16	grapes		x				
sub_03	english	17	horse		x				
sub_03	english	18	drum		x				
sub_03	english	19	glove		x				
sub_03	english	20	lightbulb		x				
sub_03	english	21	cake		x				
sub_03	english	22	watch		x				
sub_03	english	23	bear		x				
sub_03	english	24	fork		x				
sub_03	english	25	hat		x				
sub_03	english	26	leaf		x				
sub_03	english	27	tie		x				
sub_03	english	28	candle		x				
sub_03	english	29	basket		x				
sub_03	english	30	clown		x				
sub_03	english	31	kite		x				
sub_03	english	32	rainbow		x				
sub_03	english	33	witch		x				
sub_03	english	34	seesaw		x				
sub_03	english	35	flashlight		x				
sub_03	english	36	cloud		x				
sub_03	english	37	iron		x				
sub_03	english	38	feather		x				
sub_03	english	39	peacock		x				
sub_03	english	40	bridge		x				
sub_03	english	41	bone		x				
sub_03	english	42	snail		x				
sub_03	english	43	zipper		x				
sub_03	english	44	lock		x				
sub_03	english	45	whale		x				
sub_03	english	46	nurse		x				
sub_03	english	47	cage		x				
sub_03	english	48	arrow		x				
sub_03	english	49	rake		x				
sub_03	english	50	saw		x				
sub_03	english	51	nest		x				
sub_03	english	52	plug		x				
sub_03	english	53	wig		x				
