"speaker"	"gender"	"time_stamp"	"sent_comment"	"sentence"	"phoneme"	"word"	"word_comment"	"duration_ms"	"context"	"word_number"	"language"	"feature"	"l_position"
"120"	"sub_36"	"female"	877.356	NA	"csse_19"	"k"	"keyboard"	NA	91.3441250680762	"cs"	"two"	"english"	"VOT"	NA
"121"	"sub_36"	"female"	890.017895756912	NA	"csse_03"	"p"	"pato"	NA	7.20302580555199	"cs"	"one"	"spanish"	"VOT"	NA
"122"	"sub_36"	"female"	893.732	"disf"	"csse_28"	"p"	"peaches"	NA	49.8464497137547	"cs"	"two"	"english"	"VOT"	NA
"123"	"sub_36"	"female"	898.852	NA	"csse_07"	"t"	"talla"	NA	17.2816344024795	"cs"	"one"	"spanish"	"VOT"	NA
"124"	"sub_36"	"female"	903.3	NA	"csse_22"	"t"	"toddler"	NA	56.5725245829753	"cs"	"two"	"english"	"VOT"	NA
"125"	"sub_36"	"female"	907.22	NA	"csse_04"	"p"	"pavo"	NA	7.81432808469162	"cs"	"one"	"spanish"	"VOT"	NA
"126"	"sub_36"	"female"	919.88611939092	NA	"csse_09"	"k"	"quicio"	NA	66.1381776704957	"cs"	"one"	"spanish"	"VOT"	NA
"127"	"sub_36"	"female"	925.364	NA	"csse_27"	"p"	"peacock"	NA	68.1245687575256	"cs"	"two"	"english"	"VOT"	NA
"128"	"sub_36"	"female"	940.612	NA	"csse_02"	"p"	"piso"	NA	8.67300221796086	"cs"	"one"	"spanish"	"VOT"	NA
"129"	"sub_36"	"female"	948.508	NA	"csse_23"	"t"	"teapot"	NA	79.9196719034398	"cs"	"two"	"english"	"VOT"	NA
"130"	"sub_36"	"female"	952.58	NA	"csse_20"	"k"	"keepsake"	NA	111.169139124513	"cs"	"two"	"english"	"VOT"	NA
"131"	"sub_36"	"female"	956.796	NA	"csse_21"	"t"	"toffee"	NA	72.1935691395856	"cs"	"two"	"english"	"VOT"	NA
"132"	"sub_36"	"female"	961.292	NA	"csse_24"	"t"	"teacher"	NA	75.1085392658979	"cs"	"two"	"english"	"VOT"	NA
"133"	"sub_36"	"female"	965.172	NA	"csse_10"	"k"	"quiste"	NA	37.2972404851453	"cs"	"one"	"spanish"	"VOT"	NA
"134"	"sub_36"	"female"	972.676	"disf"	"csse_12"	"k"	"cama"	NA	25.6853116333104	"cs"	"one"	"spanish"	"VOT"	NA
